Business Name,Industry,Location,Asking Price,Revenue,EBITDA,Years in Operation,Broker or Seller Contact,Listing URL,Source
Semi-Passive Business: Predictable Profits,Not Specified,Not Specified,299000,240000,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/semi-passive-business-predictable-profits/2460665/,BizBuySell
Appliance Sales & Service,Not Specified,Not Specified,1500000,3196060,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/appliance-sales-and-service/2460646/,BizBuySell
Recurring Revenue: Landscaping & Pest Control Business,Not Specified,Not Specified,1750000,1310400,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/recurring-revenue-landscaping-and-pest-control-business/2460638/,BizBuySell
Flexible Lifestyle Ad Business: 20+ Years Established,Not Specified,Not Specified,850000,164000,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/flexible-lifestyle-ad-business-20-years-established/2460633/,BizBuySell
Profitable Shipping And Logistics Business In Atlanta,Not Specified,Not Specified,2900000,1601550,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/profitable-shipping-and-logistics-business-in-atlanta/2460635/,BizBuySell
Excellent Profits - Specialty Cleaning Business,Not Specified,Not Specified,2000000,1794880,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/excellent-profits-specialty-cleaning-business/2460634/,BizBuySell
Essential Services Business – Plumbing & Drain Cleaning,Not Specified,Not Specified,425000,2108000,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/essential-services-business-plumbing-and-drain-cleaning/2460631/,BizBuySell
Hampton Pool Service Route for Sale,Not Specified,Not Specified,475000,118000,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/hampton-pool-service-route-for-sale/2460630/,BizBuySell
West Town Second Gen Restaurant,Not Specified,Not Specified,155000,0,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/west-town-second-gen-restaurant/2460299/,BizBuySell
SBA Pre-Qualified Nutritional Supplements Brand | 85% Repeat Orders,Not Specified,Not Specified,160000000,2677641,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/sba-pre-qualified-nutritional-supplements-brand-85-repeat-orders/2460084/,BizBuySell
